十干克应吉凶格全图

天盘	地盘	吉凶格	性质	代表含义
戊	戊	伏吟	    凶	本地、内部、推迟，以守为主
戊	乙	青龙和会	中	门吉事吉，门凶事凶
乙	戊	阴害阳门	中	利于阴人阴事，不利阳人阳事，吉凶看门
戊	丙	青龙回首	吉	第一吉格，大吉大利，凶事遇门迫、入墓、击刑则不利
丙	戊	飞鸟跌穴	吉	第二吉格，大吉大利，凶事遇门迫、入墓、击刑则不利
戊	丁	青龙腾明	吉	第三吉格，利于见贵人、求取功名，遇门迫、入墓不利
丁	戊	青龙转光	吉	第四吉格，好事更加顺利，遇门迫、入墓不利
戊	己	贵人入狱	凶	于公私均不利，冲墓之时有转机
己	戊	犬遇青龙	中	门吉则事吉，门凶则事不成
戊	庚	值符飞宫	凶	好事不成，凶事更凶，值符飞离此宫，主换人、换地方
庚	戊	值符伏宫	凶	大凶，主换人、换地方，但庚为用神另当别论
戊	辛	青龙折足	中	吉门生助可谋事，凶门主招灾失财、足疾、折伤
辛	戊	困龙被伤	凶	妄动财失伤灾，辛为用神反为吉，但子午冲，有失财的风险。
戊	壬	龙入天牢	凶	公私皆不利
壬	戊	小蛇化龙	吉	男主事业发达，女主产婴童
戊	癸	青龙华盖	中	门吉则事吉，门凶则事凶
癸	戊	天乙会合	中	门吉则事吉，门凶则事凶
乙	乙	日奇伏吟	凶	宜静不宜动，宜守不宜攻
乙	丙	奇仪顺遂	吉	乙奇临吉凶，本质好，升职顺遂；临凶星，与第三方男子苟合，婚变
丙	乙	日月并行	吉	公私皆有利
乙	丁	奇仪相佐	吉	利文书、考试，百事可为
丁	乙	玉女奇生	吉	贵人加官晋爵，常人婚姻财帛有喜
乙	己	日奇入墓	中	门吉有救，门凶事凶。遇开门为地遁吉格
己	乙	地户逢星	凶	宜遁迹隐形，宜退不宜进
乙	庚	日奇被刑	凶	夫妻不和，争讼财产
庚	乙	太白逢星	凶	宜退不宜进，对客有利，对主不利
乙	辛	青龙逃走	凶	家破人亡，财散人走。婚姻主女方提离婚，离开男方
辛	乙	白虎猖狂	凶	家破人亡，远行有灾。婚姻主男方提离婚，拆散家庭
乙	壬	日奇入天罗	凶	尊卑悖乱，官讼是非，有人谋害
壬	乙	小蛇得势	吉	男人发达，有工作俸禄地位；女人柔顺，怀孕可得儿子
乙	癸	日奇入地罗	凶	宜退不宜进，躲灾避难为吉
癸	乙	华盖逢星	中	吉门主贵人禄位、常人平安；凶门则凶上加凶；癸为用神则为吉
丙	丙	月奇悖师	凶	文书逼迫，破耗遗失
丙	丁	星奇朱雀	吉	贵人文书吉利，常人平安喜乐，遇开生休吉门为天遁吉格
丁	丙	星随月转	中	贵人越级高开，发展顺遂；常人阴阳颠倒，乐极生悲，造成不幸
丙	己	火悖入刑	凶	门吉得吉，门凶得凶。主囚人刑仗，文书不行
己	丙	火悖地户	凶	男人冤冤相害，女人遭人奸污
丙	庚	萤入太白	凶	谋求好事大凶，主门户破败，盗贼横行，事业难成。“贼退格”，测贼退为吉
庚	丙	太白入萤	凶	“贼来格”，占贼必来，以固守为好。若日干为庚或年命为庚为吉，主动出击，先发制人，就会利于自己
丙	辛	月奇相合	吉	测事可成，测病亦不为凶
辛	丙	干合悖师	中	门吉事吉，门凶事凶。合作求财，会因财致讼
丙	壬	火入天罗	凶	为客不利，是非颇多
壬	丙	水蛇入火	凶	官灾刑禁，络绎不绝，两败俱伤
丙	癸	月奇地网	凶	暗昧不明，容易有小人、阴人害事，招灾祸
癸	丙	华盖悖师	凶	诸事不利。只有修为高超、能屈能生、因势利导的人才能变不利为有利
丁	丁	星奇伏吟	吉	文书、证件即至，喜事从心
丁	己	火入勾陈	凶	主阴私之事，谋事不利，奸私仇冤，或事因女人
己	丁	地户朱雀	吉	文书词讼，先曲后直，先凶后吉
丁	庚	星奇受阻	凶	文书阻隔，消息不同，测外出之人则归
庚	丁	金屋藏娇	中	男女关系所引起的官讼是非。门吉则事吉，门凶则事凶
丁	辛	朱雀入狱	中	地盘为罪人释放，天盘为官人失位
辛	丁	狱神得奇	吉	经商求财利润丰厚，做事有意外收获。赦免处分等
丁	壬	奇仪相合	吉	凡事有成，贵人辅助，讼狱公平。婚姻主苟合关系
壬	丁	干合蛇刑	中	文书牵连，贵人匆匆，男吉女凶。天盘，壬为男，遇丁奇为吉；地盘，丁为女，上有天罗为凶
丁	癸	朱雀投江	凶	文书口舌是非，词讼不利，音信全无
癸	丁	螣蛇夭矫	凶	官司诉讼，火焚也逃不掉
己	己	地户逢鬼	凶	疾病、发凶或必死，好事不成，谋为则凶
己	庚	刑格反名	凶	不宜谋事，词讼先动者不利，阴星则有谋害的可能
庚	己	官府刑格	凶	官司是非，判刑，牢狱之灾等
己	辛	游魂入墓	凶	鬼魅作祟，小心谨慎
辛	己	入狱自刑	凶	错误由自身造成，女仆背主，诉讼难伸
己	壬	地网高张	凶	谋为不利，凡事不吉，容易出狡童佚女，奸情伤杀之事
壬	己	反吟蛇刑	凶	官司败诉，大祸将至，顺守可吉，妄动必凶
己	癸	地刑玄武	凶	男女疾病垂危，囚狱词讼之灾
癸	己	华盖地户	凶	男女音信皆阻，躲灾避难为吉
庚	庚	太白同宫	凶	不利谋事，不和，招来官灾横祸
庚	辛	白虎干格	凶	远行不利，诸事有灾
辛	庚	白虎出力	凶	主客相残，不可强进
庚	壬	小格	    凶	远行迷失，音信全无。若庚为用神，主变动、变化，为“移荡格”
壬	庚	太白擒蛇	中	事情难以进展，如测词讼，主刑狱公平，立判邪正
庚	癸	大格	    凶	主车祸，行人不至，官讼不息，母子俱伤
癸	庚	太白入网	凶	凡事无成，吉事易空，暴力争讼，自身获罪
壬	壬	天狱自刑	凶	谋事无成，内事索索，外入缠绕，诸事破败，灾祸起于内部。吉门吉星，尚可缓解
壬	癸	天罗地网	凶	诸事不利。阴阳交合，暧昧不明，家丑外扬。门吉为风流男女，门凶为本质坏，男女之事招灾
癸	壬	复见腾蛇	凶	婚姻重婚，婚后无子，不保年华。事物变化，或另找主人，另寻合作伙伴
辛	辛	伏吟天庭	凶	为事自破，进退不果，讼狱，公废私就
辛	壬	凶蛇入狱	凶	争讼不息，先动失理
壬	辛	腾蛇相缠	凶	吉门也不得安宁，谋望被人欺骗
辛	癸	虎投地网	凶	日月失明，误入地网，动止乖张
癸	辛	网盖天牢	凶	官司败诉，死罪难逃，占病为凶
